,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,home,away
202210260CLE,CLE,240,36,87,.414,10,33,.303,21,30,.700,12,31,43,25,6,3,12,22,103,.514,.471,.379,.345,26.7,75.6,50.0,69.4,6.3,5.3,10.7,100.0,108.5,96.9,50.625,50.625,2.035,0.494,ORL,240,35,81,.432,6,24,.250,16,21,.762,10,33,43,19,6,6,16,29,92,.510,.469,.296,.259,24.4,73.3,50.0,54.3,6.3,11.1,15.1,100.0,96.9,108.5,48.4875,48.4875,1.897,0.392,,
202210260MIL,MIL,240,39,88,.443,10,36,.278,22,29,.759,14,40,54,21,8,12,18,22,110,.546,.500,.409,.330,31.8,85.1,59.3,53.8,7.8,20.3,15.2,100.0,107.5,96.8,52.8875,52.8875,2.08,0.397,BRK,240,34,86,.395,7,27,.259,24,30,.800,7,30,37,23,7,6,14,24,99,.499,.436,.314,.349,14.9,68.2,40.7,67.6,6.8,11.5,12.4,100.0,96.8,107.5,53.625,53.625,1.846,0.429,,
202210260NYK,NYK,265,52,97,.536,11,30,.367,19,22,.864,12,34,46,26,5,11,16,24,134,.628,.593,.309,.227,26.7,79.1,52.3,50.0,4.5,16.2,13.0,100.0,119.8,117.1,55.725,61.52968750000001,2.405,0.467,CHO,265,49,99,.495,13,31,.419,20,30,.667,9,33,42,31,9,5,15,24,131,.584,.561,.313,.303,20.9,73.3,47.7,63.3,8.0,7.5,11.8,100.0,117.1,119.8,59.625,65.8359375,2.197,0.52,,
202210260TOR,TOR,240,46,84,.548,16,37,.432,11,14,.786,6,33,39,32,9,5,9,21,119,.660,.643,.440,.167,16.7,89.2,53.4,69.6,9.7,11.6,9.1,100.0,128.0,117.3,46.825,46.825,2.541,0.683,PHI,240,40,79,.506,16,36,.444,13,19,.684,4,30,34,29,6,2,12,12,109,.624,.608,.456,.241,10.8,83.3,46.6,72.5,6.5,4.3,12.1,100.0,117.3,128.0,48.0125,48.0125,2.27,0.604,,
202210260CHI,CHI,240,43,87,.494,16,30,.533,22,24,.917,9,35,44,34,10,5,17,25,124,.636,.586,.345,.276,22.0,85.4,53.7,79.1,9.7,10.9,14.8,100.0,119.7,105.2,53.2,53.2,2.331,0.639,IND,240,37,86,.430,16,40,.400,19,24,.792,6,32,38,31,5,12,16,18,109,.564,.523,.465,.279,14.6,78.0,46.3,83.8,4.8,21.1,14.2,100.0,105.2,119.7,53.7,53.7,2.03,0.577,,
202210260MIN,MIN,240,52,80,.650,20,34,.588,10,16,.625,0,30,30,37,9,6,16,19,134,.770,.775,.425,.200,0.0,68.2,42.3,71.2,8.8,10.2,15.5,100.0,131.1,119.3,51.8,51.8,2.587,0.714,SAS,240,43,95,.453,16,36,.444,20,22,.909,14,27,41,34,6,2,16,18,122,.583,.537,.379,.232,31.8,100.0,57.7,79.1,5.9,4.3,13.3,100.0,119.3,131.1,53.725,53.725,2.271,0.633,,
202210260UTA,UTA,240,38,90,.422,13,45,.289,20,30,.667,11,42,53,28,11,5,15,28,109,.528,.494,.500,.333,23.9,75.0,52.0,73.7,10.4,9.3,12.7,100.0,103.4,95.8,54.125,54.125,2.014,0.517,HOU,240,36,94,.383,11,40,.275,18,24,.750,14,35,49,19,7,2,19,30,101,.483,.441,.426,.255,25.0,76.1,48.0,52.8,6.6,4.4,15.4,100.0,95.8,103.4,55.2,55.2,1.83,0.344,,
202210260POR,POR,240,34,78,.436,12,37,.324,18,26,.692,11,27,38,20,9,4,19,17,98,.548,.513,.474,.333,26.2,64.3,45.2,58.8,9.5,8.2,17.5,100.0,103.6,125.8,49.175,49.175,1.993,0.407,MIA,240,44,87,.506,15,38,.395,16,19,.842,15,31,46,34,13,2,16,22,119,.624,.592,.437,.218,35.7,73.8,54.8,77.3,13.7,4.9,14.4,100.0,125.8,103.6,48.5125,48.5125,2.453,0.701,,
202210260DEN,DEN,240,42,92,.457,9,34,.265,17,21,.810,9,45,54,34,12,5,11,17,110,.543,.505,.370,.228,18.4,86.5,53.5,81.0,11.7,8.3,9.8,100.0,107.4,96.7,51.9875,51.9875,2.116,0.654,LAL,240,40,90,.444,8,30,.267,11,16,.688,7,40,47,25,8,4,14,16,99,.510,.489,.333,.178,13.5,81.6,46.5,62.5,7.8,6.9,12.6,100.0,96.7,107.4,52.3,52.3,1.893,0.478,,
202210270BRK,BRK,265,43,93,.462,12,35,.343,27,30,.900,13,32,45,20,10,6,13,28,125,.589,.527,.376,.323,30.2,82.1,54.9,46.5,9.7,14.6,10.9,100.0,121.3,125.2,53.625,59.21093750000001,2.331,0.373,DAL,265,41,81,.506,20,40,.500,27,35,.771,7,30,37,25,8,4,17,23,129,.669,.630,.494,.432,17.9,69.8,45.1,61.0,7.8,6.9,15.0,100.0,125.2,121.3,53.8125,59.41796875000001,2.397,0.465,,
202210270OKC,OKC,240,47,95,.495,17,38,.447,7,8,.875,13,23,36,27,10,4,11,21,118,.599,.584,.400,.084,27.7,69.7,45.0,57.4,10.5,7.4,10.0,100.0,123.6,115.3,48.4,48.4,2.438,0.558,LAC,240,44,82,.537,9,28,.321,13,18,.722,10,34,44,21,6,5,19,17,110,.612,.591,.341,.220,30.3,72.3,55.0,47.7,6.3,8.8,17.4,100.0,115.3,123.6,49.775,49.775,2.21,0.422,,
202210270GSW,GSW,240,46,92,.500,18,46,.391,13,15,.867,16,34,50,30,4,2,19,13,123,.624,.598,.500,.163,41.0,81.0,61.7,65.2,4.1,4.4,16.2,100.0,125.8,112.5,51.0625,51.0625,2.409,0.588,MIA,240,39,88,.443,14,43,.326,18,22,.818,8,23,31,25,16,5,12,15,110,.563,.523,.489,.250,19.0,59.0,38.3,64.1,16.4,10.9,10.9,100.0,112.5,125.8,51.225,51.225,2.147,0.488,,
202210270SAC,SAC,240,40,83,.482,12,38,.316,18,22,.818,9,31,40,28,5,2,13,20,110,.593,.554,.458,.265,22.0,73.8,48.2,70.0,5.2,3.4,12.3,100.0,113.5,129.0,48.725,48.725,2.258,0.575,MEM,240,49,92,.533,14,33,.424,13,18,.722,11,32,43,27,5,3,12,18,125,.626,.609,.359,.196,26.2,78.0,51.8,55.1,5.2,6.7,10.7,100.0,129.0,113.5,50.775,50.775,2.462,0.532,,
202210280DET,DET,240,37,86,.430,7,32,.219,31,38,.816,14,28,42,18,2,4,10,22,112,.545,.471,.372,.442,28.6,73.7,48.3,48.6,2.1,5.9,8.9,100.0,115.1,139.8,50.025,50.025,2.239,0.36,ATL,240,55,97,.567,12,29,.414,14,18,.778,10,35,45,31,5,8,6,26,136,.648,.629,.299,.186,26.3,71.4,51.7,56.4,5.1,14.8,5.4,100.0,139.8,115.1,50.775,50.775,2.678,0.611,,
202210280ORL,ORL,240,42,85,.494,10,37,.270,19,26,.731,5,43,48,28,8,5,12,22,113,.586,.553,.435,.306,11.9,81.1,50.5,66.7,8.0,10.4,11.1,100.0,112.5,92.6,52.175,52.175,2.166,0.537,CHO,240,33,86,.384,11,38,.289,16,24,.667,10,37,47,21,3,4,14,18,93,.482,.448,.442,.279,18.9,88.1,49.5,63.6,3.0,8.3,12.7,100.0,92.6,112.5,50.7,50.7,1.834,0.414,,
202210280BOS,BOS,265,42,82,.512,13,33,.394,26,32,.813,5,29,34,28,9,2,19,27,123,.640,.591,.402,.390,13.2,76.3,44.7,66.7,8.4,3.8,16.5,100.0,115.4,123.9,55.6,61.39166666666667,2.212,0.504,CLE,265,45,87,.517,16,35,.457,26,34,.765,9,33,42,18,5,2,15,28,132,.647,.609,.402,.391,23.7,86.8,55.3,40.0,4.7,4.1,12.8,100.0,123.9,115.4,54.575,60.25989583333334,2.419,0.33,,
202210280TOR,TOR,240,33,86,.384,9,39,.231,15,24,.625,15,30,45,20,9,5,17,15,90,.466,.436,.453,.279,30.6,81.1,52.3,60.6,9.6,11.4,15.0,100.0,95.9,119.3,49.7,49.7,1.811,0.402,PHI,240,43,82,.524,16,38,.421,10,11,.909,7,34,41,25,11,6,14,20,112,.645,.622,.463,.134,18.9,69.4,47.7,58.1,11.7,12.8,13.9,100.0,119.3,95.9,47.1125,47.1125,2.377,0.531,,
202210280WAS,WAS,240,41,86,.477,12,30,.400,23,28,.821,9,29,38,25,5,3,13,23,117,.595,.547,.349,.326,20.0,85.3,48.1,61.0,5.0,5.8,11.7,100.0,116.1,126.1,51.65,51.65,2.265,0.484,IND,240,41,81,.506,15,29,.517,30,33,.909,5,36,41,30,4,7,13,19,127,.665,.599,.358,.407,14.7,80.0,51.9,73.2,4.0,12.5,12.0,100.0,126.1,116.1,52.3375,52.3375,2.427,0.573,,
202210280MIL,MIL,240,42,109,.385,13,45,.289,22,27,.815,19,41,60,23,8,8,6,23,119,.492,.445,.413,.248,31.7,75.9,52.6,54.8,7.7,13.8,4.7,100.0,115.3,104.6,54.4125,54.4125,2.187,0.423,NYK,240,37,93,.398,12,35,.343,22,32,.688,13,41,54,19,6,5,12,19,108,.504,.462,.376,.344,24.1,68.3,47.4,51.4,5.8,7.8,10.1,100.0,104.6,115.3,53.6,53.6,2.015,0.354,,
202210280MIN,MIN,240,41,99,.414,13,40,.325,16,24,.667,14,35,49,27,13,8,10,21,111,.507,.480,.404,.242,24.6,74.5,47.1,65.9,12.3,13.3,8.4,100.0,105.2,96.7,53.2,53.2,2.086,0.508,LAL,240,37,89,.416,9,29,.310,19,27,.704,12,43,55,20,8,5,22,21,102,.506,.466,.326,.303,25.5,75.4,52.9,54.1,7.6,8.5,17.9,100.0,96.7,105.2,55.9125,55.9125,1.824,0.358,,
202210280SAS,SAS,240,46,86,.535,16,38,.421,21,26,.808,8,34,42,37,7,3,20,17,129,.662,.628,.442,.302,22.9,69.4,50.0,80.4,6.6,4.2,17.0,100.0,122.3,117.5,55.175,55.175,2.338,0.671,CHI,240,47,99,.475,9,27,.333,21,26,.808,15,27,42,20,13,3,12,19,124,.561,.520,.273,.263,30.6,77.1,50.0,42.6,12.3,6.3,9.8,100.0,117.5,122.3,54.175,54.175,2.289,0.369,,
202210280DEN,DEN,240,39,85,.459,17,37,.459,22,34,.647,17,41,58,18,2,4,12,18,117,.585,.559,.435,.400,36.2,83.7,60.4,46.2,2.1,7.7,10.7,100.0,122.4,105.7,48.075,48.075,2.434,0.374,UTA,240,38,91,.418,10,39,.256,15,19,.789,8,30,38,24,7,8,9,30,101,.508,.473,.429,.209,16.3,63.8,39.6,63.2,7.3,16.7,8.3,100.0,105.7,122.4,50.5125,50.5125,2.0,0.475,,
202210280PHO,PHO,240,48,92,.522,10,33,.303,18,20,.900,14,33,47,33,7,7,12,18,124,.615,.576,.359,.217,36.8,78.6,58.8,68.8,7.3,14.3,10.6,100.0,129.5,116.0,49.75,49.75,2.492,0.663,NOP,240,38,86,.442,15,37,.405,20,22,.909,9,24,33,25,10,1,13,21,111,.580,.529,.430,.256,21.4,63.2,41.3,65.8,10.4,1.7,12.0,100.0,116.0,129.5,50.225,50.225,2.21,0.498,,
202210280POR,POR,240,48,90,.533,13,35,.371,16,20,.800,11,34,45,30,9,6,15,19,125,.633,.606,.389,.222,29.7,72.3,53.6,62.5,9.0,10.7,13.2,100.0,124.3,110.4,51.75,51.75,2.415,0.58,HOU,240,40,94,.426,14,38,.368,17,21,.810,13,26,39,23,10,6,15,18,111,.538,.500,.404,.223,27.7,70.3,46.4,57.5,9.9,10.9,12.7,100.0,110.4,124.3,52.9875,52.9875,2.095,0.434,,
202210290SAC,SAC,240,42,76,.553,14,31,.452,21,29,.724,6,37,43,27,1,6,20,29,119,.670,.645,.408,.382,19.4,80.4,55.8,64.3,1.0,9.8,18.4,100.0,119.4,113.4,51.8875,51.8875,2.293,0.52,MIA,240,38,89,.427,11,28,.393,26,31,.839,9,25,34,18,7,3,8,25,113,.550,.489,.315,.348,19.6,80.6,44.2,47.4,7.0,6.7,7.2,100.0,113.4,119.4,51.3625,51.3625,2.2,0.35,,
202210290CHO,CHO,265,43,102,.422,10,31,.323,24,31,.774,15,40,55,32,2,2,10,14,120,.519,.471,.304,.304,27.8,80.0,52.9,74.4,1.9,3.6,8.0,100.0,113.6,107.0,55.8625,61.68151041666667,2.148,0.573,GSW,265,44,100,.440,13,44,.295,12,16,.750,10,39,49,31,8,6,10,31,113,.528,.505,.440,.160,20.0,72.2,47.1,70.5,7.6,8.5,8.5,100.0,107.0,113.6,53.8,59.40416666666667,2.1,0.576,,
202210290BRK,BRK,240,41,82,.500,14,39,.359,20,26,.769,6,28,34,29,6,9,9,20,116,.621,.585,.476,.317,14.3,62.2,39.1,70.7,6.4,18.8,8.8,100.0,123.6,133.2,48.675,48.675,2.383,0.596,IND,240,40,94,.426,23,46,.500,22,26,.846,17,36,53,31,7,1,10,25,125,.593,.548,.489,.277,37.8,85.7,60.9,77.5,7.5,2.3,8.7,100.0,133.2,123.6,49.675,49.675,2.516,0.624,,
202210290CHI,CHI,240,36,80,.450,11,31,.355,26,29,.897,9,31,40,22,7,3,18,20,109,.588,.519,.388,.363,21.4,79.5,49.4,61.1,7.1,6.0,16.3,100.0,110.4,115.4,51.3875,51.3875,2.121,0.428,PHI,240,39,79,.494,14,29,.483,22,27,.815,8,33,41,28,8,6,17,22,114,.627,.582,.367,.342,20.5,78.6,50.6,71.8,8.1,12.2,15.8,100.0,115.4,110.4,50.4125,50.4125,2.261,0.555,,
202210290MIL,MIL,240,45,92,.489,14,36,.389,19,29,.655,14,35,49,24,8,5,11,18,123,.587,.565,.391,.315,31.8,74.5,53.8,53.3,8.1,7.7,9.5,100.0,124.7,116.6,51.3875,51.3875,2.394,0.467,ATL,240,45,94,.479,13,29,.448,12,15,.800,12,30,42,19,5,2,12,23,115,.572,.548,.309,.160,25.5,68.2,46.2,42.2,5.1,3.6,10.7,100.0,116.6,124.7,50.5625,50.5625,2.274,0.376,,
202210290UTA,UTA,240,45,87,.517,19,44,.432,15,20,.750,10,24,34,30,8,6,19,17,124,.647,.626,.506,.230,25.0,70.6,45.9,66.7,7.8,9.8,16.6,100.0,121.1,120.1,52.75,52.75,2.351,0.569,MEM,240,50,88,.568,12,27,.444,11,15,.733,10,30,40,24,11,5,20,26,123,.650,.636,.307,.170,29.4,75.0,54.1,48.0,10.7,11.6,17.5,100.0,120.1,121.1,52.5625,52.5625,2.34,0.457,,
202210290DAL,DAL,265,38,95,.400,8,40,.200,27,34,.794,12,37,49,17,8,5,16,30,111,.505,.442,.421,.358,24.0,80.4,51.0,44.7,7.4,7.8,12.7,100.0,102.3,107.9,57.575,63.57239583333334,1.928,0.295,OKC,265,44,89,.494,5,25,.200,24,31,.774,9,38,47,25,9,6,15,29,117,.570,.522,.281,.348,19.6,76.0,49.0,56.8,8.3,10.9,12.8,100.0,107.9,102.3,54.8625,60.577343750000004,2.133,0.456,,
202210300LAC,LAC,240,36,86,.419,11,39,.282,8,13,.615,8,31,39,24,3,6,14,15,91,.496,.483,.453,.151,17.4,72.1,43.8,66.7,3.2,10.5,13.2,100.0,96.8,119.1,49.0875,49.0875,1.854,0.489,NOP,240,46,93,.495,15,36,.417,5,8,.625,12,38,50,32,9,1,10,15,112,.580,.575,.387,.086,27.9,82.6,56.2,69.6,9.6,2.1,9.4,100.0,119.1,96.8,47.4,47.4,2.363,0.675,,
202210300BOS,BOS,240,36,79,.456,21,47,.447,19,20,.950,4,43,47,29,4,5,13,15,112,.638,.589,.595,.253,10.0,74.1,48.0,80.6,4.2,7.6,12.9,100.0,117.2,98.3,48.75,48.75,2.297,0.595,WAS,240,38,98,.388,7,32,.219,11,16,.688,15,36,51,22,5,6,8,20,94,.447,.423,.327,.163,25.9,90.0,52.0,57.9,5.2,18.8,7.1,100.0,98.3,117.2,49.3,49.3,1.907,0.446,,
202210300CLE,CLE,240,41,89,.461,23,50,.460,16,19,.842,10,33,43,33,3,5,14,22,121,.621,.590,.562,.213,23.3,73.3,48.9,80.5,3.0,7.7,12.6,100.0,122.4,109.3,51.0125,51.0125,2.372,0.647,NYK,240,45,92,.489,10,27,.370,8,16,.500,12,33,45,26,9,2,14,25,108,.545,.543,.293,.174,26.7,76.7,51.1,57.8,9.1,5.1,12.4,100.0,109.3,122.4,50.8,50.8,2.126,0.512,,
202210300DET,DET,240,40,83,.482,14,33,.424,34,38,.895,12,35,47,24,4,3,15,25,128,.642,.566,.398,.458,29.3,72.9,52.8,60.0,4.0,5.7,13.1,100.0,127.8,113.8,52.025,52.025,2.46,0.461,GSW,240,39,92,.424,12,39,.308,24,25,.960,13,29,42,23,8,4,14,24,114,.553,.489,.424,.272,27.1,70.7,47.2,59.0,8.0,8.0,12.0,100.0,113.8,127.8,52.4375,52.4375,2.174,0.439,,
202210300SAS,SAS,240,36,86,.419,16,40,.400,19,25,.760,14,38,52,27,6,7,19,21,107,.552,.512,.465,.291,32.6,70.4,53.6,75.0,6.1,10.0,16.4,100.0,108.7,99.6,51.4375,51.4375,2.08,0.525,MIN,240,40,99,.404,4,29,.138,14,20,.700,16,29,45,21,11,7,11,23,98,.455,.424,.293,.202,29.6,67.4,46.4,52.5,11.2,15.2,9.3,100.0,99.6,108.7,51.75,51.75,1.894,0.406,,
202210300DAL,DAL,240,41,83,.494,11,35,.314,21,28,.750,5,32,37,15,10,1,4,22,114,.598,.560,.422,.337,12.2,74.4,44.0,36.6,10.8,1.9,4.0,100.0,123.6,113.8,47.65,47.65,2.392,0.315,ORL,240,37,81,.457,11,29,.379,20,27,.741,11,36,47,20,2,5,12,23,105,.565,.525,.358,.333,25.6,87.8,56.0,54.1,2.2,10.4,11.4,100.0,113.8,123.6,47.4125,47.4125,2.215,0.422,,
202210300PHO,PHO,240,45,84,.536,12,40,.300,22,30,.733,10,26,36,29,9,8,11,22,124,.638,.607,.476,.357,23.8,60.5,42.4,64.4,9.5,15.1,10.2,100.0,131.4,115.5,49.625,49.625,2.499,0.584,HOU,240,38,87,.437,11,34,.324,22,26,.846,17,32,49,18,7,1,15,25,109,.554,.500,.391,.299,39.5,76.2,57.6,47.4,7.4,2.3,13.2,100.0,115.5,131.4,48.675,48.675,2.239,0.37,,
202210300LAL,LAL,240,46,96,.479,13,30,.433,16,20,.800,13,38,51,24,5,5,8,17,121,.577,.547,.313,.208,27.1,74.5,51.5,52.2,5.1,8.9,7.1,100.0,124.3,113.0,50.25,50.25,2.408,0.478,DEN,240,41,96,.427,15,40,.375,13,18,.722,13,35,48,24,3,8,9,15,110,.529,.505,.417,.188,25.5,72.9,48.5,58.5,3.1,12.1,8.0,100.0,113.0,124.3,50.275,50.275,2.188,0.477,,
202210310WAS,WAS,240,38,81,.469,10,25,.400,25,26,.962,9,32,41,22,8,4,15,18,111,.600,.531,.309,.321,21.4,88.9,52.6,57.9,8.2,7.5,14.0,100.0,113.2,120.3,49.675,49.675,2.235,0.443,PHI,240,46,83,.554,12,30,.400,14,20,.700,4,33,37,26,14,3,13,20,118,.643,.627,.361,.241,11.1,78.6,47.4,56.5,14.3,5.4,12.4,100.0,120.3,113.2,50.75,50.75,2.325,0.512,,
202210310CHO,CHO,240,43,84,.512,14,29,.483,8,14,.571,6,32,38,31,11,6,20,26,108,.599,.595,.345,.167,15.8,76.2,47.5,72.1,10.7,14.6,18.2,100.0,105.0,111.8,52.325,52.325,2.064,0.592,SAC,240,37,85,.435,17,44,.386,24,28,.857,10,32,42,26,8,4,19,19,115,.591,.535,.518,.329,23.8,84.2,52.5,70.3,7.8,7.3,16.3,100.0,111.8,105.0,53.65,53.65,2.144,0.485,,
202210310BRK,BRK,240,43,80,.538,11,30,.367,19,20,.950,6,33,39,26,11,9,19,18,116,.653,.606,.375,.250,17.6,76.7,50.6,60.5,10.5,18.8,17.6,100.0,111.1,104.4,51.25,51.25,2.263,0.507,IND,240,41,87,.471,11,39,.282,16,23,.696,10,28,38,23,11,5,24,24,109,.561,.534,.448,.264,23.3,82.4,49.4,56.1,10.5,10.0,19.8,100.0,104.4,111.1,55.9625,55.9625,1.948,0.411,,
202210310TOR,TOR,240,46,92,.500,14,34,.412,33,40,.825,12,32,44,25,13,9,6,22,139,.634,.576,.370,.435,28.6,82.1,54.3,54.3,12.8,16.4,5.2,100.0,136.7,107.2,52.5,52.5,2.648,0.476,ATL,240,39,84,.464,11,29,.379,20,25,.800,7,30,37,28,1,4,18,27,109,.574,.530,.345,.298,17.9,71.4,45.7,71.8,1.0,6.9,15.9,100.0,107.2,136.7,53.4375,53.4375,2.04,0.524,,
202210310MIL,MIL,240,38,87,.437,11,40,.275,23,29,.793,14,36,50,20,5,5,16,21,110,.551,.500,.460,.333,31.8,73.5,53.8,52.6,5.1,7.9,13.8,100.0,112.3,110.3,51.3875,51.3875,2.141,0.389,DET,240,41,92,.446,8,29,.276,18,21,.857,13,30,43,19,9,3,12,24,108,.533,.489,.315,.228,26.5,68.2,46.2,46.3,9.2,6.4,10.6,100.0,110.3,112.3,50.4875,50.4875,2.139,0.376,,
202210310UTA,UTA,240,42,89,.472,19,47,.404,18,22,.818,11,37,48,26,10,6,15,30,121,.613,.579,.528,.247,24.4,67.3,48.0,61.9,9.7,9.1,13.2,100.0,117.2,101.7,51.725,51.725,2.339,0.503,MEM,240,38,92,.413,6,26,.231,23,42,.548,18,34,52,14,8,4,16,17,105,.475,.446,.283,.457,32.7,75.6,52.0,36.8,7.8,9.5,12.7,100.0,101.7,117.2,54.975,54.975,1.91,0.255,,
202210310LAC,LAC,240,37,87,.425,9,36,.250,12,17,.706,8,38,46,23,7,10,13,18,95,.503,.477,.414,.195,17.8,84.4,51.1,62.2,7.1,16.7,12.1,100.0,95.7,93.7,50.0375,50.0375,1.899,0.46,HOU,240,34,88,.386,8,28,.286,17,23,.739,7,37,44,17,9,8,13,16,93,.474,.432,.318,.261,15.6,82.2,48.9,50.0,9.1,15.7,11.7,100.0,93.7,95.7,52.4625,52.4625,1.773,0.324,,
202211010BRK,BRK,240,36,74,.486,12,32,.375,15,19,.789,4,34,38,27,4,7,18,20,99,.601,.568,.432,.257,10.8,75.6,46.3,75.0,4.2,11.9,17.9,100.0,105.0,114.6,48.5125,48.5125,2.041,0.557,CHI,240,39,89,.438,12,30,.400,18,21,.857,11,33,44,20,8,4,9,13,108,.550,.506,.337,.236,24.4,89.2,53.7,51.3,8.5,9.5,8.4,100.0,114.6,105.0,48.4875,48.4875,2.227,0.412,,
202211010MIA,MIA,240,40,88,.455,16,42,.381,20,20,1.000,9,30,39,32,7,3,15,16,116,.599,.545,.477,.227,22.5,75.0,48.8,80.0,7.1,8.6,13.4,100.0,117.0,110.0,51.75,51.75,2.242,0.618,GSW,240,39,84,.464,18,49,.367,13,17,.765,10,31,41,31,8,5,20,22,109,.596,.571,.583,.202,25.0,77.5,51.3,79.5,8.1,10.9,17.9,100.0,110.0,117.0,51.0375,51.0375,2.136,0.607,,
202211010OKC,OKC,240,45,95,.474,10,34,.294,16,20,.800,8,28,36,28,13,9,15,17,116,.559,.526,.358,.211,17.8,70.0,42.4,62.2,12.3,15.5,12.6,100.0,109.4,101.8,55.75,55.75,2.081,0.502,ORL,240,39,87,.448,10,29,.345,20,20,1.000,12,37,49,20,7,10,24,14,108,.564,.506,.333,.230,30.0,82.2,57.6,51.3,6.6,16.4,20.0,100.0,101.8,109.4,54.25,54.25,1.991,0.369,,
202211010PHO,PHO,240,41,89,.461,17,43,.395,17,22,.773,7,27,34,31,9,8,9,20,116,.588,.556,.483,.247,17.9,73.0,44.7,75.6,9.2,15.1,8.4,100.0,118.5,109.3,50.725,50.725,2.287,0.611,MIN,240,37,87,.425,13,34,.382,20,24,.833,10,32,42,24,5,4,16,24,107,.548,.500,.391,.276,27.0,82.1,55.3,64.9,5.1,8.7,14.1,100.0,109.3,118.5,52.2,52.2,2.05,0.46,,
202211020PHI,PHI,240,39,84,.464,19,36,.528,14,20,.700,6,26,32,25,3,1,8,25,111,.598,.577,.429,.238,14.3,78.8,42.7,64.1,3.3,1.8,7.9,100.0,121.0,131.9,47.75,47.75,2.325,0.524,WAS,240,45,78,.577,5,21,.238,26,32,.813,7,36,43,27,4,9,7,18,121,.657,.609,.269,.410,21.2,85.7,57.3,60.0,4.4,18.8,7.1,100.0,131.9,121.0,46.6,46.6,2.597,0.579,,
202211020CLE,CLE,265,42,100,.420,11,39,.282,19,24,.792,9,42,51,24,6,4,11,23,114,.516,.475,.390,.240,17.0,84.0,49.5,57.1,5.5,7.7,9.0,100.0,104.4,103.5,56.7,62.60625000000001,2.011,0.423,BOS,265,38,93,.409,11,41,.268,26,27,.963,8,44,52,26,5,9,14,24,113,.539,.468,.441,.290,16.0,83.0,50.5,68.4,4.6,14.8,11.8,100.0,103.5,104.4,55.9125,61.73671875000001,2.021,0.465,,
202211020MIA,MIA,240,44,89,.494,11,34,.324,11,13,.846,9,37,46,27,5,5,11,20,110,.581,.556,.382,.146,20.5,90.2,54.1,61.4,5.1,10.0,10.4,100.0,113.3,110.2,48.5875,48.5875,2.264,0.556,SAC,240,41,86,.477,13,36,.361,12,14,.857,4,35,39,29,4,3,12,18,107,.581,.552,.419,.163,9.8,79.5,45.9,70.7,4.1,5.5,11.5,100.0,110.2,113.3,50.325,50.325,2.126,0.576,,
202211020NYK,NYK,240,37,90,.411,10,36,.278,15,20,.750,12,40,52,23,3,9,16,19,99,.501,.467,.400,.222,26.1,70.2,50.5,62.2,3.0,12.3,13.9,100.0,99.2,112.3,51.75,51.75,1.913,0.444,ATL,240,44,107,.411,12,34,.353,12,16,.750,17,34,51,28,11,4,7,18,112,.491,.467,.318,.150,29.8,73.9,49.5,63.6,11.0,7.4,5.8,100.0,112.3,99.2,52.3,52.3,2.141,0.535,,
202211020CHI,CHI,240,38,88,.432,14,31,.452,16,18,.889,11,40,51,28,6,9,19,18,106,.553,.511,.352,.205,24.4,75.5,52.0,73.7,6.0,15.0,16.5,100.0,105.6,87.6,52.275,52.275,2.028,0.536,CHO,240,36,92,.391,7,32,.219,9,16,.563,13,34,47,22,12,12,16,14,88,.444,.429,.348,.174,24.5,75.6,48.0,61.1,12.0,21.1,13.9,100.0,87.6,105.6,51.3,51.3,1.715,0.429,,
202211020HOU,HOU,240,37,88,.420,11,38,.289,16,21,.762,16,34,50,17,9,5,19,22,101,.519,.483,.432,.239,32.0,79.1,53.8,45.9,9.3,9.8,16.3,100.0,104.2,112.4,50.4875,50.4875,2.0,0.337,LAC,240,41,84,.488,12,33,.364,15,19,.789,9,34,43,20,10,6,14,20,109,.590,.560,.393,.226,20.9,68.0,46.2,48.8,10.3,12.0,13.2,100.0,112.4,104.2,49.0125,49.0125,2.224,0.408,,
202211020MIL,MIL,240,43,92,.467,10,38,.263,20,24,.833,15,37,52,24,17,5,16,16,116,.566,.522,.413,.261,31.3,94.9,59.8,55.8,16.6,10.4,13.5,100.0,113.3,88.9,52.2,52.2,2.222,0.46,DET,240,33,79,.418,11,31,.355,14,15,.933,2,33,35,18,7,3,21,22,91,.532,.487,.392,.190,5.1,68.8,40.2,54.5,6.8,5.6,19.7,100.0,88.9,113.3,52.5625,52.5625,1.731,0.342,,
202211020SAS,SAS,240,37,94,.394,14,43,.326,12,14,.857,13,33,46,29,3,6,23,20,100,.499,.468,.457,.149,24.1,78.6,47.9,78.4,2.7,8.2,18.7,100.0,90.9,130.0,55.325,55.325,1.808,0.524,TOR,240,57,106,.538,14,33,.424,15,16,.938,9,41,50,31,16,6,11,17,143,.633,.604,.311,.151,21.4,75.9,52.1,54.4,14.5,11.8,8.9,100.0,130.0,90.9,57.8,57.8,2.474,0.536,,
